,commentBody
0,"My first impulse when I read this was to label it as an anxious overreaction: ""in the coming years, my son, who is 7 now, is more likely to be profiled or arrested ? or worse ? for no reason other than his race and where we live.""  That would never happen, I thought. 

But as a member of the industry, I know that the technology is that powerful, and observing our country's slow decline into authoritarianism I think William's concern is legitimate.

What few realize is that the technology for ingesting information and using methods such as machine learning to extract meaning from it is evolving at lightning speed. Some may remember the Times article in 2012 describing how Target deduced that a teenage customer was pregnant before her father knew. A lot has happened in five years, and the next five will astonish everyone. We are not ready for this.

I have two adult children and I have warned them: You will live in a different world than I have. Every single thing you do or say will be recorded and analyzed by some computer somewhere. And there is little standing between your innocent expectations of privacy and due process and someone in government or business who will exploit it without regard for your interests, or even with malignant intent. 

With a business-friendly Congress unable to protect us from an incompetent and dangerous poseur in the presidency, I am very worried on behalf of my children.

http://www.nytimes.com/2012/02/19/magazine/shopping-habits.html? "
1,"Following my earlier comment, if you really want to ruin your Sunday you should follow up the Op-Ed by watching this video, produced by AI professors, that has gone viral. It shows how AI will not just 'police' innocent children but decide which to kill:

http://money.cnn.com/2017/11/14/technology/autonomous-weapons-ban-ai/ind...

The world is in deep trouble."
2,"I'm reading a lot of unbridled racism in these comments.  For those who are genuinely ignorant, let me recommend a book.
http://www.nytimes.com/2012/03/07/books/michelle-alexanders-new-jim-crow...
If someone already did that, please ignore."
3,"I was just thinking about how AI might have helped us in Vietnam. With improved data on enemy deployments, we could have dragged the war out another five years before admitting our involvement was a bad policy from the beginning."
4,"I agree 100%, Ms. Williams.   AI is going to be very important in the future.  It must be as unbiased as possible, and the programming must be checked for bias regularly.  We can never condone bias or racism in any AI, just as we can never tolerate it in humans.

Thank you for an excellent analysis."
5,"The US is distinguished by Darwinian economic policies and segregation based on race and income. Tech can be used to reinforce this.  

But we've ignored the real dangers..
How about using AI to predict the Trump win, and his worsening behavior after taking office?

Couldn't we have easily predicted the increase in financial crime, leading up to the crash of 08 and all its damage?  Would we need computers to warn us after the Gop and Clinton cooperated to repeal long standing bank regulations in '90s? Wall St became a high crime neighborhood. But policing it is very untrendy in our politics---it's called big govt intrusion. 

What would Artificial Intelligence have predicted about the dominance of the corporate elites taking over our election campaigns, subsidizing both parties, after the Court's Citizens United decision said big money equals free speech? 

Destructive trends were easy to see. Or is our politics not interested in that kind of prediction?"
6,"The author and many commenters here share a fundamental misunderstanding of machine learning.  It is not a bunch of racist white coders generating series after series of if - then - else statements leading to some solution.   It is more closely explained as a machine training on millions upon millions of examples in essence teaching itself to recognize patterns in those examples.   

If it recognizes patterns that suggest that some groups are more prone to crime and violence than others it is not bias.  I guess it is possible for those providing the examples the machine is training on are dishonest, but that would be pointless and counterproductive. "
7,"Everyone should be terrified of AI and it's use by the police and the government who will be the ""criminals"" of tomorrow.   The truth is AI doesn't think on its own;  it's programed by humans and those humans can pretty much do what they like.  They can slant  criteria against a race, a creed, a gender, a philosophy or a set or subset of political views.  AI has been given patina  of infallibility and that's terrifying. 

We need to stop handing out lives and our freedom over to machines who will not be amenable to dispute or we really are doomed."
8,"Ms. Williams should perhaps consider that most of Oakland was not until relatively recently a place in which a lawyer and an engineer would choose to raise children, and that aggressive enforcement, including using knowledge about past criminal activity to focus on hot spots, was one of the things that helped bring crime rates, in particular the rate of homicide, down. Or at least did until some of the ""Obama-era criminal justice reform policies"" Ms. Williams touts lead to a twenty-percent rise in homicides nationally in only the last two years. Criminal justice policies that use data of actual past crime, including and in particular homicide, which is for obvious reasons the easiest crime to identify (it leaves bodies), helped make cities like Oakland safe enough that one could go out for a haircut or a hoagie without the fear of being killed."
9,"My favorite technology for understanding crime is BI, not AI. B refers to books. In BI, people like Michelle Alexander use person-learning research algorithms developed over the centuries by live human historians, statisticians, political and social scientists, and other experts in BI to unravel the ties between race and crime. Then they write books, like for example ""The New Jim Crow,"" which explains how the War on Drugs has violentized black neighborhoods, exactly like Alcohol Prohibition violentized Italian neighborhoods back in the 1920s.

If we were to have this debate in 1927, it would be the Italian Americans who'd be replacing African Americans as the targeted population for stereotypes and naive statistical projections by conservative white people.

Americans solved the Italian-on-Italian crime problem in the inner cities by repealing the ban on alcohol sales, allowing the alcohol industry to be run by people who were not criminal psychopaths.

How would any machine ever be able to parse that? We need more BI more than we need AI. "
10,"Perhaps some criticism this articles presents is valid; specifically of a supposed bias of racial profiling and the resulting arrests and thus ""statistics"" that end up going into the system which ""intelligent"" policing uses as a framework for analysis. 

Some statistics however can't be explained away easily such as the homicide rate of the African American community while accounting for 13% of the population also account for 50% of homicides.  That's not a bias or an example of biased policing. Murder is murder.

Either way it all needs to be addressed. 

Consider racial profiling just as individuals based on surroundings. If I drive 45 mins south to the Inglewood neighborhood of Chicago, I will most assuredly be ""racially"" profiling as well as age profiling and specifically ""apparel"" and clothing style profiling, especially if my wife or kids are with me.

Everyone who lives there and goes through there is going to the same. "
11,"We should all be wary of the advances of tech that are profiling us all.
It is not people of color alone. It is each and everyone of us.
Privacy is no longer available to most of us today, right now."
12,"The real issue is that AI is based on data that is based on black crime.  And she has to deceive the reader by suggesting that drug use is the same as drug dealing.  Furthermore, that claim is false as blacks use drugs more than whites. She then jumps to the conclusion that police arrest blacks at random, fearing her son will be arrested for no reason at the barber shop. This is nonsense.  The police need probable cause to make an arrest. One would think an attorney would know that. Anyway, it?s a good idea for her and her children to avoid high crime black areas given the rate of black-on-black crime. Clearly, she and her husband are affirmative action hires at that tech company because no company would hire someone so ignorant in such an important legal position without the impetus of affirmative action.

https://link.springer.com/article/10.1093/jurban/jti065"
13,"We are all in favor of the scientific method (sans certain Republican politicians, who like to remind us that 'they are not scientists) when it helps us get an uber or a pizza faster, but we get worried when the same methods are applied to social problems.  How do we determine the risk of an event occuring?  It depends, in part on the probablility of the event occuiring in the past (a statistical approach worked out by Bayes many years ago). For example, if five people on average don't show up for their flight, the airlines can oversell flights by five seats and most of the time no one will need to be bumped.  But can we apply this same quantitative method to social issues?  I would assume that the next terriorist attack in the US will be performed by someone who claims to be Muslim, solely because every other attach for the past decade has been.  Does that mean every Muslim is bad?  Of course not, but the pool of possible suspects can certainly be narrowed by applying this criteria. Similarly, if a certain percent of violent crimes are performed by people of certain genders, ages, and races, that information predicts the likelihood of a future event being performed by someone who matches those demographics.  This is simply empirically true, it has nothing to do with bias or prejudice. How the world uses this information is the problem - we love using statstical approaches to get a cheaper hotel room,  but when they are applied to human problems they become 'profiling.'..."
